X,NDX,AAPL,MSFT,NVDA,AMZN,GOOG
4/15/19,7629.120117,48.943016,118.850243,183.921982,1844.869995,1221.099976
4/16/19,7654.72998,48.947933,118.575325,187.417236,1863.040039,1227.130005
4/17/19,7680.720215,49.901096,119.557159,186.501099,1864.819946,1236.339966
4/18/19,7689.720215,50.080433,121.128082,185.515274,1861.689941,1236.369995
4/22/19,7713.490234,50.245026,121.510994,187.676132,1887.310059,1248.839966
4/23/19,7810.709961,50.969719,123.160469,189.866852,1923.77002,1264.550049
4/24/19,7784.410156,50.891109,122.738281,190.364761,1901.75,1256
4/25/19,7816.919922,50.429272,126.803055,186.122696,1902.25,1263.449951
4/26/19,7826.680176,50.188522,127.529594,177.339828,1950.630005,1272.180054
4/29/19,7839.040039,50.264679,127.411781,178.574631,1938.430054,1287.579956
4/30/19,7781.459961,49.296772,128.2267,180.237595,1926.52002,1188.47998
5/1/19,7751.850098,51.716534,125.556122,179.709824,1911.52002,1168.079956
5/2/19,7724.060059,51.379974,123.916473,182.418365,1900.819946,1162.609985
5/3/19,7845.72998,52.018696,126.557594,182.23912,1962.459961,1185.400024
5/6/19,7794.089844,51.215385,125.821205,179.092438,1950.550049,1189.390015
5/7/19,7640.149902,49.834774,123.239006,172.380814,1921,1174.099976
5/8/19,7617.549805,49.844593,123.229202,173.187408,1917.77002,1166.27002
5/9/19,7582.75,49.309052,123.219376,169.473129,1899.869995,1162.380005
5/10/19,7586.529785,48.625954,124.819756,168.108902,1889.97998,1164.27002
5/13/19,7324.129883,45.799843,121.108444,157.782578,1822.680054,1132.030029
5/14/19,7401.879883,46.524864,122.463371,161.357468,1840.119995,1120.439941
5/15/19,7503.25,47.082195,124.187927,158.907822,1871.150024,1164.209961
5/16/19,7580.140137,46.87505,127.055618,159.515244,1907.569946,1178.97998
5/17/19,7503.680176,46.608715,126.208138,155.870667,1869,1162.300049
5/20/19,7376.700195,45.151264,124.385033,151.110809,1858.969971,1138.849976
5/21/19,7451.02002,46.016857,125.055145,154.40686,1857.52002,1149.630005
5/22/19,7420.660156,45.074814,125.813942,151.558884,1859.680054,1151.420044
5/23/19,7307.930176,44.305401,124.345612,146.699463,1815.47998,1140.77002
5/24/19,7300.959961,44.135246,124.404724,144.538589,1823.280029,1133.469971
5/28/19,7278.379883,43.952755,124.325905,142.726273,1836.430054,1134.150024
5/29/19,7216.859863,43.743137,123.123634,139.74884,1819.189941,1116.459961
5/30/19,7245.399902,43.97002,123.902145,138.682144,1816.319946,1117.949951
5/31/19,7127.959961,43.173477,121.88195,135.043396,1775.069946,1103.630005
6/3/19,6978.02002,42.736977,118.097771,133.368546,1692.689941,1036.22998
6/4/19,7166.75,44.300468,121.369514,142.560196,1729.560059,1053.050049
6/5/19,7220.899902,45.015621,124.000694,140.84549,1738.5,1042.219971
6/6/19,7275.930176,45.676537,125.961761,143.337799,1754.359985,1044.339966
6/7/19,7417.290039,46.892303,129.4897,145.052505,1804.030029,1066.040039
6/10/19,7501.930176,47.491562,130.672287,147.97348,1860.630005,1080.380005
6/11/19,7513.850098,48.041492,130.17955,150.286346,1863.699951,1078.719971
6/12/19,7472.290039,47.888603,129.578415,145.750336,1855.319946,1077.030029
6/13/19,7510.680176,47.878731,130.396332,147.804001,1870.300049,1088.77002
6/14/19,7479.109863,47.531021,130.52446,144.195129,1869.670044,1085.349976
6/17/19,7526.52002,47.814621,130.918655,144.583939,1886.030029,1092.5
