Stocks,Weights
ATVI,0.0
ADBE,0.0
AMD,0.0
ALXN,0.0
ALGN,0.0
GOOGL,0.09350273277588858
GOOG,0.0
AMZN,0.12580811985444187
AMGN,0.07682259594306125
ADI,0.0
ANSS,0.0
AAPL,0.13871574502023148
AMAT,0.0
ASML,0.0
ADSK,0.0
ADP,0.0
BIDU,0.0
BIIB,0.0
BMRN,0.0
BKNG,0.0
AVGO,0.0
CDNS,0.0
CDW,0.0
CERN,0.0
CHTR,0.0
CHKP,0.0
CTAS,0.0
CSCO,0.0
CTXS,0.0
CTSH,0.0
CMCSA,0.0
CPRT,0.0
COST,0.0
CSX,0.0
DXCM,0.0
DOCU,0.0
DLTR,0.0
EBAY,0.0
EA,0.0
EXC,0.0
EXPE,0.0
FB,0.08121462211886682
FAST,0.0
FISV,0.0
GILD,0.0
IDXX,0.0
ILMN,0.0
INCY,0.0
INTC,0.06308381925025727
INTU,0.0
ISRG,0.0
JD,0.0
KLAC,0.0
KHC,0.0
LRCX,0.0
LBTYA,0.0
LBTYK,0.0
LULU,0.0
MAR,0.0
MXIM,0.0833437347638956
MELI,0.0
MCHP,0.0
MU,0.0
MSFT,0.15337517943259307
MRNA,0.0
MDLZ,0.0
MNST,0.0
NTES,0.0
NFLX,0.0
NVDA,0.0
NXPI,0.0
ORLY,0.0
PCAR,0.0
PAYX,0.1426578396387915
PYPL,0.0
PEP,0.0
PDD,0.0
QCOM,0.0
REGN,0.0
ROST,0.0
SGEN,0.0
SIRI,0.0
SWKS,0.0
SPLK,0.0
SBUX,0.0
SNPS,0.0
TMUS,0.0
TTWO,0.0
TSLA,0.0
TXN,0.0
TCOM,0.0
ULTA,0.0
VRSN,0.0
VRSK,0.0
VRTX,0.0
WBA,0.04147561120197261
WDAY,0.0
WDC,0.0
XEL,0.0
XLNX,0.0
