Stocks,Weights
ATVI,0.0033738375485532776
ADBE,0.01963642293627245
AMD,0.0044028012358518255
ALXN,0.00136592567785386
ALGN,0.0
GOOGL,0.07108359474555023
GOOG,0.016501889132041328
AMZN,0.09767721916107318
AMGN,0.01086145980604967
ADI,0.0016357959050068553
ANSS,0.0
AAPL,0.10264375874477227
AMAT,0.0030788612054352166
ASML,0.0010932789601220219
ADSK,0.004651653744445426
ADP,0.014497232789080572
BIDU,0.005497193848538413
BIIB,0.006576590075013254
BMRN,0.003721244461383653
BKNG,0.010234040802126625
AVGO,0.014439042235449782
CDNS,0.0028492863886739475
CDW,0.0
CERN,0.0
CHTR,0.008003989391616874
CHKP,0.002725171770336392
CTAS,0.0005837912755168598
CSCO,0.02506906481658712
CTXS,0.0010242891897551823
CTSH,0.004640016597899246
CMCSA,0.02505429051433235
CPRT,0.0
COST,0.010220230437581291
CSX,0.008734819934678511
DXCM,0.0012822193615510892
DOCU,0.0
DLTR,0.007436838333136983
EBAY,0.005493625863651874
EA,0.0018651845095294891
EXC,0.002849336565201524
EXPE,0.0028444371112764377
FB,0.047684199319473146
FAST,0.0016561747003496056
FISV,0.0018537818709008559
GILD,0.01376706341589498
IDXX,0.001029817687105005
ILMN,0.006510248075180274
INCY,0.0009545607047257402
INTC,0.03189904122329784
INTU,0.008290194561151192
ISRG,0.011874450107733468
JD,0.003923029525001821
KLAC,0.004884860051013165
KHC,0.005672318022614608
LRCX,0.0035216671888007303
LBTYA,0.0
LBTYK,0.0024356900308239566
LULU,0.0023952062750408915
MAR,0.009080154640903119
MXIM,0.011436099259554095
MELI,0.000989880792981816
MCHP,0.0031418501932406386
MU,0.006750241829483693
MSFT,0.09971954536885544
MRNA,0.0004730736672810926
MDLZ,0.012920699275681239
MNST,0.0029412955805847877
NTES,0.0030987786146103756
NFLX,0.016174459841411575
NVDA,0.00986405582544799
NXPI,0.0026883084458350836
ORLY,0.0063542820932592165
PCAR,0.004514926372845647
PAYX,0.0071029967633821234
PYPL,0.019973581878908207
PEP,0.01517512600033712
PDD,0.0
QCOM,0.012913015965622115
REGN,0.005830703674845498
ROST,0.005958057356004233
SGEN,0.0
SIRI,0.005499259890290954
SWKS,0.0
SPLK,0.0
SBUX,0.006575604671629775
SNPS,0.005509623265814232
TMUS,0.008575209869221294
TTWO,0.002240163579410844
TSLA,0.00676747290809614
TXN,0.012192986479995256
TCOM,0.0009110773756832033
ULTA,0.0042433585425656175
VRSN,0.006842632738821863
VRSK,0.005871117570874634
VRTX,0.009151103627190989
WBA,0.009661318878798356
WDAY,0.003219770082270147
WDC,0.0002740075944027054
XEL,0.0033634216488064635
XLNX,0.0
