Stocks,Weights
ATVI,0.003382028347455831
ADBE,0.019192619312290226
AMD,0.004026944867442287
ALXN,0.0011137447156502436
ALGN,0.0
GOOGL,0.060472657563841944
GOOG,0.02648243218563309
AMZN,0.09808056317373703
AMGN,0.01108671143249152
ADI,0.0021421311507404616
ANSS,0.0
AAPL,0.10266034225053101
AMAT,0.003766915624162546
ASML,0.0031970967216895137
ADSK,0.002860823937528619
ADP,0.017086618001964142
BIDU,0.005811179503559192
BIIB,0.006583202322419498
BMRN,0.004069016389269835
BKNG,0.01112580337494404
AVGO,0.014801421024540462
CDNS,0.003628413808046175
CDW,0.0
CERN,0.0
CHTR,0.008138372078254371
CHKP,0.001575228275448824
CTAS,0.0
CSCO,0.025638260494474978
CTXS,0.0
CTSH,0.004275235535238785
CMCSA,0.024392795149180302
CPRT,0.0
COST,0.010970912291553139
CSX,0.009925574966743468
DXCM,0.0009904517773044689
DOCU,0.0
DLTR,0.006620918982246113
EBAY,0.005840026601427018
EA,0.001993880142487552
EXC,0.004643360815590904
EXPE,0.0027219328953543855
FB,0.04880871456016826
FAST,0.0016772378899397812
FISV,0.0031689761064841847
GILD,0.01281557488457173
IDXX,0.0012636101339489909
ILMN,0.006944612785992845
INCY,0.0
INTC,0.03193018891125371
INTU,0.006305310855215134
ISRG,0.012203433767527038
JD,0.0037384981090708026
KLAC,0.005840751845163546
KHC,0.005877959827451901
LRCX,0.0
LBTYA,0.0
LBTYK,0.002842042370855766
LULU,0.0023869592462788134
MAR,0.008530569007387273
MXIM,0.012105919816062077
MELI,0.0013629875701892259
MCHP,0.002601541195045252
MU,0.00804895905293506
MSFT,0.09810894271592469
MRNA,0.0
MDLZ,0.01576751789197581
MNST,0.0018923732133956862
NTES,0.003263503525936603
NFLX,0.017423574033852186
NVDA,0.009155821513075346
NXPI,0.0028959414538975905
ORLY,0.006602392901321144
PCAR,0.0021628879292895898
PAYX,0.007985842602048416
PYPL,0.0193428850564172
PEP,0.014942219546616044
PDD,0.0
QCOM,0.012680637273731704
REGN,0.007521767681314014
ROST,0.006432701697885386
SGEN,0.0
SIRI,0.005257652676207226
SWKS,0.0
SPLK,0.0
SBUX,0.00489085963019014
SNPS,0.005501812023037515
TMUS,0.008797640459654685
TTWO,0.0016986928330336335
TSLA,0.007137898314963021
TXN,0.011751238424425273
TCOM,0.0
ULTA,0.004128545669120489
VRSN,0.009007566265335287
VRSK,0.005981019121176056
VRTX,0.008866669883340892
WBA,0.009832804502068792
WDAY,0.003217127511982062
WDC,0.0
XEL,0.0
XLNX,0.0
