Stocks,Weights
ATVI,0.0046083305684604114
ADBE,0.01799747030514035
AMD,0.004168255467094628
ALXN,0.003283363803939776
ALGN,0.0
GOOGL,0.05434181920522767
GOOG,0.03216271091268962
AMZN,0.09925796051679105
AMGN,0.01130506835754523
ADI,0.0
ANSS,0.0
AAPL,0.09977315361876314
AMAT,0.0039033879905488703
ASML,0.004439291710713525
ADSK,0.004579155237795667
ADP,0.01869804470371763
BIDU,0.003100053324087886
BIIB,0.006156011897203996
BMRN,0.004013473860943012
BKNG,0.01491878821235686
AVGO,0.014636247786918714
CDNS,0.006198313312247747
CDW,0.0
CERN,0.0
CHTR,0.007227327965982944
CHKP,0.0
CTAS,0.0
CSCO,0.025967635307526372
CTXS,0.0
CTSH,0.002608615927540326
CMCSA,0.02428868619432239
CPRT,0.0
COST,0.012995757990542792
CSX,0.011599667741068806
DXCM,0.0016205694009729663
DOCU,0.0
DLTR,0.005819534051312765
EBAY,0.007210510332811599
EA,0.0026320037004654937
EXC,0.005102989273292789
EXPE,0.0
FB,0.04975285006025275
FAST,0.0016927247089950559
FISV,0.0
GILD,0.011368866290762173
IDXX,0.0
ILMN,0.00606770715247105
INCY,0.0
INTC,0.03138380746704434
INTU,0.00720721225199538
ISRG,0.013186513502279815
JD,0.005678086256720125
KLAC,0.007159141904070078
KHC,0.006686580773717726
LRCX,0.0
LBTYA,0.0
LBTYK,0.003266465471155081
LULU,0.00340324754688069
MAR,0.010065459952645484
MXIM,0.011257564729937572
MELI,0.0012336539227082235
MCHP,0.0035832736004809923
MU,0.006172770660229738
MSFT,0.10161381101922974
MRNA,0.0
MDLZ,0.014223917117433316
MNST,0.0
NTES,0.0
NFLX,0.018022166308376185
NVDA,0.009429584073975846
NXPI,0.0029905968768681374
ORLY,0.005823374722864543
PCAR,0.0
PAYX,0.007498216481177317
PYPL,0.017041147215765023
PEP,0.015265461350295226
PDD,0.0
QCOM,0.011937437370405028
REGN,0.008310387996750813
ROST,0.00714572993721228
SGEN,0.0
SIRI,0.007732768232801947
SWKS,0.0
SPLK,0.0
SBUX,0.006417037519933035
SNPS,0.0
TMUS,0.009414923090815906
TTWO,0.0
TSLA,0.006724073700233884
TXN,0.015296533785680435
TCOM,0.0
ULTA,0.0029223476718681133
VRSN,0.008695608459032217
VRSK,0.008451749671885233
VRTX,0.007967854613164892
WBA,0.01007338041306801
WDAY,0.0032217674407919034
WDC,0.0
XEL,0.0
XLNX,0.0
