Stocks,Weights
ATVI,0.0
ADBE,0.031770950395816816
AMD,0.0
ALXN,0.0
ALGN,0.0
GOOGL,0.10522296441943017
GOOG,0.0
AMZN,0.10489840855134804
AMGN,0.0
ADI,0.0
ANSS,0.0
AAPL,0.12378172927135059
AMAT,0.0
ASML,0.0
ADSK,0.0
ADP,0.04894092598972946
BIDU,0.0
BIIB,0.0
BMRN,0.0
BKNG,0.0
AVGO,0.034096180408246725
CDNS,0.0
CDW,0.0
CERN,0.0
CHTR,0.0
CHKP,0.0
CTAS,0.0
CSCO,0.03917378672261429
CTXS,0.0
CTSH,0.0
CMCSA,0.037685870984731064
CPRT,0.0
COST,0.041876011774477515
CSX,0.0
DXCM,0.0
DOCU,0.0
DLTR,0.0
EBAY,0.0
EA,0.0
EXC,0.0
EXPE,0.0
FB,0.04919867252308665
FAST,0.0
FISV,0.0
GILD,0.03811538001224635
IDXX,0.0
ILMN,0.0
INCY,0.0
INTC,0.042263071311179005
INTU,0.0
ISRG,0.0
JD,0.0
KLAC,0.0
KHC,0.0
LRCX,0.0
LBTYA,0.0
LBTYK,0.0
LULU,0.0
MAR,0.0
MXIM,0.0
MELI,0.0
MCHP,0.0
MU,0.02290079583299623
MSFT,0.08975040009867771
MRNA,0.0
MDLZ,0.045550867201853536
MNST,0.0
NTES,0.0
NFLX,0.02716068257010924
NVDA,0.0
NXPI,0.024014020586684417
ORLY,0.0
PCAR,0.03089851387817611
PAYX,0.0
PYPL,0.03708143658473708
PEP,0.0
PDD,0.0
QCOM,0.0
REGN,0.0
ROST,0.0
SGEN,0.0
SIRI,0.0
SWKS,0.0
SPLK,0.0
SBUX,0.0
SNPS,0.0
TMUS,0.0
TTWO,0.0
TSLA,0.0
TXN,0.0
TCOM,0.0
ULTA,0.0
VRSN,0.0
VRSK,0.0
VRTX,0.025619330882508985
WBA,0.0
WDAY,0.0
WDC,0.0
XEL,0.0
XLNX,0.0
