Stocks,Weights
ATVI,0.0
ADBE,0.02890387232911493
AMD,0.0
ALXN,0.0
ALGN,0.0
GOOGL,0.0
GOOG,0.08326101349825943
AMZN,0.09875414057956206
AMGN,0.01545353078013112
ADI,0.0
ANSS,0.0
AAPL,0.10361512808379451
AMAT,0.008264161507814616
ASML,0.0
ADSK,0.0
ADP,0.025912899926238877
BIDU,0.00980256380954867
BIIB,0.00795187584935813
BMRN,0.0
BKNG,0.013939383288825071
AVGO,0.017993176193041607
CDNS,0.01031821631076413
CDW,0.0
CERN,0.0
CHTR,0.016992650459291443
CHKP,0.0
CTAS,0.0
CSCO,0.03420784616722925
CTXS,0.0
CTSH,0.0
CMCSA,0.027377514540006868
CPRT,0.0
COST,0.018015923091589992
CSX,0.0
DXCM,0.0
DOCU,0.0
DLTR,0.0
EBAY,0.01393149413520263
EA,0.0072817323227467
EXC,0.0
EXPE,0.0
FB,0.05347251893307569
FAST,0.009586265415617641
FISV,0.0
GILD,0.01854006766212193
IDXX,0.0
ILMN,0.012991170258152756
INCY,0.0
INTC,0.025622600158881747
INTU,0.0
ISRG,0.0
JD,0.0
KLAC,0.0
KHC,0.0
LRCX,0.0
LBTYA,0.0
LBTYK,0.0
LULU,0.0
MAR,0.0
MXIM,0.015626156612259
MELI,0.0
MCHP,0.0
MU,0.012806963228406645
MSFT,0.10133281162713244
MRNA,0.0
MDLZ,0.020209793523458617
MNST,0.0
NTES,0.0
NFLX,0.02016391647795175
NVDA,0.009653568698241626
NXPI,0.0
ORLY,0.012931891225348482
PCAR,0.0
PAYX,0.0
PYPL,0.02075688798702506
PEP,0.024659463373042752
PDD,0.0
QCOM,0.006700628842528797
REGN,0.0
ROST,0.012634431277577017
SGEN,0.0
SIRI,0.008588649758658112
SWKS,0.0
SPLK,0.0
SBUX,0.0
SNPS,0.0
TMUS,0.0
TTWO,0.0
TSLA,0.005975508977967763
TXN,0.025907618241990595
TCOM,0.0
ULTA,0.0
VRSN,0.016948660645987636
VRSK,0.0
VRTX,0.012546360825441137
WBA,0.010366943376612973
WDAY,0.0
WDC,0.0
XEL,0.0
XLNX,0.0
