Stocks,Weights
ATVI,0.0033715888945545767
ADBE,0.019638042153179738
AMD,0.004402379321187357
ALXN,0.0013675117149624266
ALGN,0.0
GOOGL,0.07108714734845177
GOOG,0.016493404502085345
AMZN,0.09767516366272329
AMGN,0.010863698532640203
ADI,0.001635169060800509
ANSS,0.0
AAPL,0.10264065874001824
AMAT,0.0030808072605342813
ASML,0.001094644929949058
ADSK,0.004653383712313123
ADP,0.014493001153454005
BIDU,0.005499084571454719
BIIB,0.006575776523623425
BMRN,0.003719619747756606
BKNG,0.010236298424348002
AVGO,0.014438742532465907
CDNS,0.00284851569195887
CDW,0.0
CERN,0.0
CHTR,0.007999744121776876
CHKP,0.002727039217391958
CTAS,0.0005862223439219766
CSCO,0.02506902324656928
CTXS,0.0010204388434534532
CTSH,0.004641788730206247
CMCSA,0.025054175689405673
CPRT,0.0
COST,0.010219689201274865
CSX,0.008735273168517504
DXCM,0.0012827709582240287
DOCU,0.0
DLTR,0.00743702354636817
EBAY,0.005493407776589069
EA,0.0018644492311234483
EXC,0.0028477189258283033
EXPE,0.002845136236785533
FB,0.04768494590925342
FAST,0.001656346267140165
FISV,0.0018513725287771633
GILD,0.013765573836095299
IDXX,0.0010328606743293094
ILMN,0.006510394752003581
INCY,0.000954452578786436
INTC,0.03189860446294874
INTU,0.008290708323878933
ISRG,0.01187132835788468
JD,0.003922232146113599
KLAC,0.004884744657791273
KHC,0.005673019234525623
LRCX,0.003521084654534365
LBTYA,0.0
LBTYK,0.0024345053278024818
LULU,0.0023943340179282454
MAR,0.009080591145962115
MXIM,0.011437523458113953
MELI,0.0009893052331993377
MCHP,0.0031398932748115727
MU,0.006748543964382214
MSFT,0.09972428922763273
MRNA,0.0004731069425869291
MDLZ,0.012914473717061779
MNST,0.0029431308839673125
NTES,0.0030981662026054626
NFLX,0.016174196797856494
NVDA,0.009866201171801444
NXPI,0.002686247056202867
ORLY,0.006359517763363611
PCAR,0.00451806071761069
PAYX,0.007103653211586462
PYPL,0.01997518687267107
PEP,0.015178739006838686
PDD,0.0
QCOM,0.012913095034170843
REGN,0.0058285759891970055
ROST,0.005959719010640925
SGEN,0.0
SIRI,0.005500530207372475
SWKS,0.0
SPLK,0.0
SBUX,0.006573498026933892
SNPS,0.00551086253187829
TMUS,0.00857433030804322
TTWO,0.0022415005533103593
TSLA,0.006768106282966509
TXN,0.012193016026479628
TCOM,0.0009108418823992962
ULTA,0.004243157610346288
VRSN,0.006842278779997331
VRSK,0.005872564775701991
VRTX,0.009151455231367062
WBA,0.009661702939339305
WDAY,0.0032200533370343874
WDC,0.00027449812045750766
XEL,0.0033643392584174377
XLNX,0.0
