Stocks,Weights
ATVI,0.0
ADBE,0.028644163351762907
AMD,0.0
ALXN,0.0
ALGN,0.0
GOOGL,0.08961635022773518
GOOG,0.0
AMZN,0.10304108079814966
AMGN,0.016712092735484584
ADI,0.0
ANSS,0.0
AAPL,0.11154212656955514
AMAT,0.0
ASML,0.0
ADSK,0.0
ADP,0.038915180521578795
BIDU,0.0
BIIB,0.0
BMRN,0.0
BKNG,0.014348759770870568
AVGO,0.02831064666039722
CDNS,0.0
CDW,0.0
CERN,0.0
CHTR,0.0
CHKP,0.0
CTAS,0.0
CSCO,0.03165592667679103
CTXS,0.0
CTSH,0.0
CMCSA,0.035214023796954715
CPRT,0.0
COST,0.029151948735436764
CSX,0.0
DXCM,0.0
DOCU,0.0
DLTR,0.0
EBAY,0.013750982613351047
EA,0.014577790272100884
EXC,0.0
EXPE,0.0
FB,0.05083989397723041
FAST,0.0
FISV,0.0
GILD,0.022846505357617182
IDXX,0.0
ILMN,0.007536655395160577
INCY,0.0
INTC,0.030876525144238668
INTU,0.0
ISRG,0.0
JD,0.0
KLAC,0.0
KHC,0.0
LRCX,0.0
LBTYA,0.0
LBTYK,0.0
LULU,0.0
MAR,0.0
MXIM,0.03710806311442354
MELI,0.0
MCHP,0.0
MU,0.017828268299753522
MSFT,0.08355829031655648
MRNA,0.0
MDLZ,0.025090589809790884
MNST,0.0
NTES,0.0
NFLX,0.02252229914470263
NVDA,0.012145967867833885
NXPI,0.0
ORLY,0.0
PCAR,0.01770426372445103
PAYX,0.02637724261624016
PYPL,0.029801054542292583
PEP,0.02450683648313178
PDD,0.0
QCOM,0.008415025518836338
REGN,0.0
ROST,0.0
SGEN,0.0
SIRI,0.0
SWKS,0.0
SPLK,0.0
SBUX,0.0
SNPS,0.0
TMUS,0.0
TTWO,0.0
TSLA,0.010619452642757253
TXN,0.0
TCOM,0.0
ULTA,0.0
VRSN,0.0
VRSK,0.0
VRTX,0.016741993314814334
WBA,0.0
WDAY,0.0
WDC,0.0
XEL,0.0
XLNX,0.0
